Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Flowers,Amaranthaceae,Amaranthus,Amaranthus,Green Tails | AMA-GRETL,Greenhouse Sow,,03/28/2020,,,,,,,,05/23/2020,34,30,06/26/2020,07/26/2020,128 plants,"The Back Field,MCB,Block GRN,Beds 9",9.0,in,5,0.58,72 cell flats,2,5,42,84,48000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,3.000 st/pl,$15.00/bn,384.0 Stems,$576.00,$6.00/plant,Annual,,,,,foliage%br%foliage,,,,
Flowers,Amaranthaceae,Amaranthus,Amaranthus,Hot Biscuits | AMA-HOTBC,Direct Sow,,,,,,,,,,07/08/2020,75,17,09/21/2020,10/08/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",12.0,in,4,0.58,,,,,40,48000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,3.000 st/pl,$15.00/bn,120.0 Stems,$180.00,$4.50/plant,Annual,,,,,foliage,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Chocolate Lace | AMM-CHOCL,Greenhouse Sow,,03/09/2020,,,,,,,,05/07/2020,68,42,07/14/2020,08/25/2020,10 bed ft.,"The Back Field,MCB,Block GRN,Beds 8",12.0,in,4,0.58,72 cell flats,2,5,42,84,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,80.0 Stems,$64.00,$1.60/plant,Annual,,,,,,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Green Mist | AMM-GRENM,Greenhouse Sow,,03/09/2020,,,,,,,,05/13/2020,68,42,07/20/2020,08/31/2020,80 plants,"The Back Field,MCB,Block GRN,Beds 8",9.0,in,5,0.58,72 cell flats,2,5,84,84,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,160.0 Stems,$128.00,$2.13/plant,Annual,,,,,filler%br%filler,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Green Mist | AMM-GRENM,Greenhouse Sow,,03/28/2020,,,,,,,,05/24/2020,68,42,07/31/2020,09/11/2020,103 plants,"The Back Field,MCB,Block GRN,Beds 9",9.0,in,5,1.17,72 cell flats,2,5,84,168,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,206.0 Stems,$164.80,$2.13/plant,Annual,,,,,filler%br%filler%br%filler%br%filler,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Chocolate Lace | AMM-CHOCL,Greenhouse Sow,,03/28/2020,,,,,,,,05/13/2020,68,42,07/20/2020,08/31/2020,8 plants,"The Back Field,Breakfast Club,Block GRN,Beds 2",12.0,in,4,1.17,72 cell flats,2,5,84,168,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,16.0 Stems,$12.80,$1.60/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Blue White Mix | ANE-BLUWM,Direct Sow,,,,,,,,,,04/21/2020,37,14,05/28/2020,06/11/2020,4.5 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,30,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,600.0 Stems,$720.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Lord Lieutenant | ANE-LORLT,Direct Sow,,,,,,,,,,04/21/2020,37,14,05/28/2020,06/11/2020,2 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,13,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,266.7 Stems,$320.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,White | ANE-WHITE,Direct Sow,,,,,,,,,,04/21/2020,37,14,05/28/2020,06/11/2020,4.5 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,30,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,600.0 Stems,$720.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Saint Brigid | ANE-SAIBR,Direct Sow,,,,,,,,,,04/21/2020,37,14,05/28/2020,06/11/2020,2 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,13,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$0.00/st,266.7 Stems,$0.00,$0.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Apricot Swirl Mix | AST-APRSM,Greenhouse Sow,,03/14/2020,,,,,,,,05/04/2020,78,21,07/21/2020,08/11/2020,58 plants,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,870.0 Stems,"$1,392.00",$32.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Harlekin Violet | AST-HARVI,Greenhouse Sow,,03/14/2020,,,,,,,,05/04/2020,78,21,07/21/2020,08/11/2020,36 plants,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,540.0 Stems,$864.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Chamois Apricot | AST-CHAPR,Greenhouse Sow,,04/08/2020,,,,,,,,05/17/2020,78,21,08/03/2020,08/24/2020,33 plants,"The Back Field,MCB,Block FLR,Beds 6",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,495.0 Stems,$792.00,$31.94/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Valkyrie Pink | AST-VALPK,Greenhouse Sow,,04/08/2020,,,,,,,,05/17/2020,78,21,08/03/2020,08/24/2020,71 plants,"The Back Field,MCB,Block FLR,Beds 6",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,"1,065.0 Stems","$1,704.00",$32.03/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Chamois Apricot | AST-CHAPR,Greenhouse Sow,,04/08/2020,,,,,,,,05/17/2020,78,21,08/03/2020,08/24/2020,71 plants,"The Back Field,MCB,Block FLR,Beds 7",9.0,in,5,1.03,72 cell flats,2,4,73.8,148,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/row ft,$8.00/bn,798.8 Stems,"$1,278.00",$24.02/row ft.,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Mrs. Burn's Lemon | BAS-MRSBL,Direct Sow,Full-Size,,,,,,,,,07/08/2020,70,28,09/16/2020,10/14/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,22342,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,30.000 st/pl,$8.00/bn,"2,000.0 Stems","$1,600.00",$32.00/plant,Annual,,,,,foliage,,,,
Flowers,Amaranthaceae,Celosia,Celosia,Cockscomb Coral Rf | CEL-COCRF,Greenhouse Sow,,03/28/2020,,,,,,,,05/31/2020,32,17,07/02/2020,07/19/2020,129 plants,"The Back Field,MCB,Block GRN,Beds 10",9.0,in,5,0.1,72 cell flats,2,5,70,14,40173,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,258.0 Stems,$206.40,$2.13/plant,Annual,,,,,,,,,
Flowers,Amaranthaceae,Celosia,Celosia,Texas Plume SumShr | CEL-TEXSS,Greenhouse Sow,,04/08/2020,,,,,,,,05/31/2020,32,17,07/02/2020,07/19/2020,98 plants,"The Back Field,MCB,Block GRN,Beds 10",9.0,in,5,0.58,72 cell flats,2,5,42,84,40173,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,7.000 st/pl,$8.00/bn,686.0 Stems,$548.80,$7.47/plant,Annual,,,,,,,,,
Flowers,Amaranthaceae,Celosia,Celosia,Pampas Plume | CEL-PAMPL,Greenhouse Sow,,04/08/2020,,,,,,,,05/24/2020,32,17,06/25/2020,07/12/2020,82 plants,"The Back Field,MCB,Block GRN,Beds 9",9.0,in,5,0.58,72 cell flats,2,5,42,84,40173,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,7.000 st/pl,$8.00/bn,574.0 Stems,$459.20,$7.47/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Rubenza | COS-RUDBN,Greenhouse Sow,,05/14/2020,,,,,,,,06/10/2020,62,35,08/11/2020,09/15/2020,105 plants,"The Back Field,MCB,Block GRN,Beds 11",9.0,in,3,1.53,72 cell flats,1,5,110.3,110,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"6,300.0 Stems","$5,040.00",$63.96/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Apricot Lemonade | COS-APRIL,Greenhouse Sow,,05/14/2020,,,,,,,,06/07/2020,62,35,08/08/2020,09/12/2020,175 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Bunches,60.000 st/pl,$8.00/bn,"10,500.0 Stems","$8,400.00",$64.02/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Cupcake Blush | COS-CUPBL,Greenhouse Sow,,05/14/2020,,,,,,,,05/27/2020,62,35,07/28/2020,09/01/2020,60 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.88,72 cell flats,1,5,63,63,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"3,600.0 Stems","$2,880.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Seashells Mix | COS-SEASM,Greenhouse Sow,,05/14/2020,,,,,,,,05/27/2020,62,35,07/28/2020,09/01/2020,62 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.9,72 cell flats,1,5,65.1,65,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"3,720.0 Stems","$2,976.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Cupcake Blush | COS-CUPBL,Greenhouse Sow,,05/14/2020,,,,,,,,06/08/2020,62,35,08/09/2020,09/13/2020,75 plants,"The Back Field,MCB,Block GRN,Beds 11",9.0,in,3,1.09,72 cell flats,1,5,78.8,78,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/row ft,$8.00/bn,"3,375.0 Stems","$2,700.00",$48.04/row ft.,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Seashells Mix | COS-SEASM,Greenhouse Sow,,05/14/2020,,,,,,,,06/06/2020,62,35,08/07/2020,09/11/2020,54 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.9,72 cell flats,1,5,65,65,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/row ft,$8.00/bn,"2,430.0 Stems","$1,944.00",$48.00/row ft.,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Dbl Click Bi Rose | COS-DBLCR,Greenhouse Sow,,05/20/2020,,,,,,,,06/06/2020,62,35,08/07/2020,09/11/2020,54 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"3,240.0 Stems","$2,592.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Dbl Click Snow Puff| COS-DBLCS,Greenhouse Sow,,05/20/2020,,,,,,,,06/06/2020,62,35,08/07/2020,09/11/2020,26 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"1,560.0 Stems","$1,248.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Double Click Mix | COS-DBLCM,Greenhouse Sow,,05/20/2020,,,,,,,,06/06/2020,62,35,08/07/2020,09/11/2020,49 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"2,940.0 Stems","$2,352.00",$63.91/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Cupcake White | COS-CUPCW,Greenhouse Sow,,05/20/2020,,,,,,,,06/08/2020,62,35,08/09/2020,09/13/2020,70 plants,"The Back Field,MCB,Block GRN,Beds 11",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"4,200.0 Stems","$3,360.00",$64.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Cosmos,Cosmos,Dbl Click Cberries | COS-DBLCC,Greenhouse Sow,,05/20/2020,,,,,,,,06/06/2020,62,35,08/07/2020,09/11/2020,58 plants,"The Back Field,MCB,Block FLR,Beds 5",9.0,in,3,0.58,72 cell flats,1,5,42,42,52160,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,60.000 st/pl,$8.00/bn,"3,480.0 Stems","$2,784.00",$64.00/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Emerald Beads | CRE-EMEBD,Direct Sow,Full-Size,,,,,,,,,07/08/2020,90,14,10/06/2020,10/20/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Emerald Beads | CRE-EMEBD,Direct Sow,Full-Size,,,,,,,,,07/08/2020,90,14,10/06/2020,10/20/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Pennycress | CRE-PENCR,Direct Sow,Full-Size,,,,,,,,,07/08/2020,60,14,09/06/2020,09/20/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,,,,,
Vegetables,Brassicaceae,Cress,Cress,Wrinkled Crinkled | CRE-WRICR,Direct Sow,Full-Size,,,,,,,,,07/09/2020,60,14,09/07/2020,09/21/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,15433,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,5.000 st/pl,$8.00/bn,333.3 Stems,$266.66,$5.33/plant,Annual,,,,,filler,,,,
