Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date,14th Rotation Planting Name,14th Rotation Crop,14th Rotation Start Date,14th Rotation End Date,15th Rotation Planting Name,15th Rotation Crop,15th Rotation Start Date,15th Rotation End Date,16th Rotation Planting Name,16th Rotation Crop,16th Rotation Start Date,16th Rotation End Date,17th Rotation Planting Name,17th Rotation Crop,17th Rotation Start Date,17th Rotation End Date,18th Rotation Planting Name,18th Rotation Crop,18th Rotation Start Date,18th Rotation End Date,19th Rotation Planting Name,19th Rotation Crop,19th Rotation Start Date,19th Rotation End Date,20th Rotation Planting Name,20th Rotation Crop,20th Rotation Start Date,20th Rotation End Date,21st Rotation Planting Name,21st Rotation Crop,21st Rotation Start Date,21st Rotation End Date,22nd Rotation Planting Name,22nd Rotation Crop,22nd Rotation Start Date,22nd Rotation End Date,23rd Rotation Planting Name,23rd Rotation Crop,23rd Rotation Start Date,23rd Rotation End Date,24th Rotation Planting Name,24th Rotation Crop,24th Rotation Start Date,24th Rotation End Date
Goat Field,GH,,FLR,1,500 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat Field,GH,,GRN,2,500 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat Field,Hardenting,,FLR,1,500 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goat Field,Hardenting,,GRN,2,500 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Barn,Germ Bark,,FLR,1,320 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Barn,Germ Bark,,GRN,2,320 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Barn,Germ Light,,FLR,1,320 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Barn,Germ Light,,GRN,2,320 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Breakfast Club,,FLR,1,320 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Breakfast Club,,GRN,2,320 ft,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Chocolate Lace | AMM-CHOCL",Ammi (False Queen Anne's Lace),03/28/2020,08/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Casper Patch,,,1,40 ft,"Pumpkins, Specialty, Casper | PUM-CASPR",Pumpkins,06/27/2020,10/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Flat Stacker Patch,,,1,40 ft,"Pumpkins, Medium, Flat Stacker | PUM-FLATS",Pumpkins,06/27/2020,10/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Gourd Patch,,,1,40 ft,"Gourds, Large, Ornamental Mix | GOU-ORNMX",Gourds,06/27/2020,10/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Howden Patch,,,1,40 ft,"Pumpkins, Large, Howden | PUM-HOWDN",Pumpkins,06/27/2020,11/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Leftover pumpkins and gourds,,,1,200 ft,"Pumpkins, Medium, Pipsqueak PMR | PUM-PIPSQ",Pumpkins,06/28/2020,11/03/2020,"Pumpkins, Medium, Racer | PUM-RACER",Pumpkins,06/28/2020,10/19/2020,"Pumpkins, Large, Howden | PUM-HOWDN",Pumpkins,06/28/2020,11/18/2020,"Pumpkins, Specialty, Casper | PUM-CASPR",Pumpkins,06/28/2020,10/11/2020,"Pumpkins, Medium, Flat Stacker | PUM-FLATS",Pumpkins,06/28/2020,10/29/2020,"Gourds, Large, Ornamental Mix | GOU-ORNMX",Gourds,06/28/2020,10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLR,1,80 ft,"Ranunculus, Ranunculus, Bridal Mix | RAN-BRIMX",Ranunculus,04/19/2020,06/19/2020,"Ranunculus, Ranunculus, Purple/White | RAN-PURWH",Ranunculus,04/19/2020,06/19/2020,"Ranunculus, Ranunculus, Violet | RAN-VIOLE",Ranunculus,04/19/2020,06/19/2020,"Ranunculus, Ranunculus, Pink/ White | RAN-PINWI",Ranunculus,04/19/2020,06/19/2020,"Ranunculus, Ranunculus, Romantic Mix | RAN-ROMMX",Ranunculus,04/19/2020,06/19/2020,"Ranunculus, Ranunculus, White | RAN-WHITE",Ranunculus,04/19/2020,06/19/2020,"Ranunculus, Ranunculus, Red | RAN-REDXX",Ranunculus,04/19/2020,06/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLR,2,80 ft,"Aster, Aster, Apricot Swirl Mix | AST-APRSM",Aster,03/14/2020,08/11/2020,"Aster, Aster, Harlekin Violet | AST-HARVI",Aster,03/14/2020,08/11/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Cherry Brandy | RUD-CHEBR",Rudbeckia (Black-Eyed Susan),02/15/2020,09/03/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Chim Chiminee Mix | RUD-CHIMX",Rudbeckia (Black-Eyed Susan),02/15/2020,09/03/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Denver Daisy | RUD-DENDA",Rudbeckia (Black-Eyed Susan),02/15/2020,08/19/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Praire Sun | RUD-PRASN",Rudbeckia (Black-Eyed Susan),02/15/2020,08/27/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Sahara | RUD-SAHAR",Rudbeckia (Black-Eyed Susan),02/15/2020,09/03/2020,"Anemone, Mid Blooming, Blue White Mix | ANE-BLUWM",Anemone,04/21/2020,06/11/2020,"Anemone, Mid Blooming, Lord Lieutenant | ANE-LORLT",Anemone,04/21/2020,06/11/2020,"Anemone, Mid Blooming, White | ANE-WHITE",Anemone,04/21/2020,06/11/2020,"Rudbeckia (Black-Eyed Susan), Rudbeckia (Black-Eyed Susan), Macau | RUD-MACAU",Rudbeckia (Black-Eyed Susan),02/15/2020,09/02/2020,"Anemone, Mid Blooming, Saint Brigid | ANE-SAIBR",Anemone,04/21/2020,06/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLR,3,80 ft,"Dahlias, Mid Blooming, Black Satin | DAH-BLASA",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Café Au Lait | DAH-CAFEA",Dahlias,05/02/2020,09/29/2020,"Dahlias, Mid Blooming, Cornel | DAH-CORNL",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Franz Kafka | DAH-FRAKF",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Jan Ryecroft | DAH-JANRY",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Lancresse | DAH-LANCR",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Peaches n Cream | DAH-PEACR",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Shiloh Noelle | DAH-SHILN",Dahlias,05/02/2020,09/29/2020,"Dahlias, Mid Blooming, Thomas Edison | DAH-THOED",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, BoomBoom White | DAH-BOOWH",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Conn Coral | DAH-CONNC",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Dorothy | DAH-DORTH",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Giant Hybrid Mix | DAH-GIAMX",Dahlias,04/14/2020,09/18/2020,"Dahlias, Mid Blooming, Hamari Gold | DAH-HAMGD",Dahlias,05/02/2020,09/29/2020,"Dahlias, Mid Blooming, Lady Natalie | DAH-LADYN",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Mystique | DAH-MYSTQ",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Penhill Watermelon | DAH-PENHW",Dahlias,05/02/2020,09/29/2020,"Dahlias, Mid Blooming, Sweet Nathalie | DAH-SWETN",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Wizard of Oz | DAH-WIZOZ",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Otto’s Thrill | DAH-OTTOS",Dahlias,05/02/2020,09/29/2020,"Dahlias, Mid Blooming, Golden Scepter | DAH-GOLDN",Dahlias,05/03/2020,09/30/2020,"Dahlias, Mid Blooming, Lucky Number | DAH-LUCKY",Dahlias,05/02/2020,09/29/2020,"Dahlias, Mid Blooming, Eye Opener Blend | DAH-EYEOP",Dahlias,05/02/2020,09/29/2020,"Dahlias, Mid Blooming, Noordwijks Glorie | DAH-NOORD",Dahlias,05/02/2020,09/29/2020
The Back Field,MCB,,FLR,4,80 ft,"Gomphrena (Globe Amaranth), Gomphrena (Globe Amaranth), Sunset Mix | GOM-SUNMX",Gomphrena (Globe Amaranth),03/29/2020,08/17/2020,"Gomphrena (Globe Amaranth), Gomphrena (Globe Amaranth), Pastel Mix | GOM-PASMX",Gomphrena (Globe Amaranth),03/29/2020,08/07/2020,"Gomphrena (Globe Amaranth), Gomphrena (Globe Amaranth), White | GOM-WHITE",Gomphrena (Globe Amaranth),03/29/2020,08/07/2020,"Zinnias, Zinnias, Queen Lime Blush | ZIN-QUELB",Zinnias,05/20/2020,10/09/2020,"Dahlias, Mid Blooming, Giant Hybrid Mix | DAH-GIAMX",Dahlias,04/14/2020,09/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLR,5,80 ft,"Cosmos, Cosmos, Apricot Lemonade | COS-APRIL",Cosmos,05/14/2020,09/12/2020,"Cosmos, Cosmos, Dbl Click Bi Rose | COS-DBLCR",Cosmos,05/20/2020,09/11/2020,"Cosmos, Cosmos, Dbl Click Snow Puff| COS-DBLCS",Cosmos,05/20/2020,09/11/2020,"Cosmos, Cosmos, Cupcake Blush | COS-CUPBL",Cosmos,05/14/2020,09/01/2020,"Cosmos, Cosmos, Double Click Mix | COS-DBLCM",Cosmos,05/20/2020,09/11/2020,"Cosmos, Cosmos, Seashells Mix | COS-SEASM",Cosmos,05/14/2020,09/01/2020,"Cosmos, Cosmos, Dbl Click Cberries | COS-DBLCC",Cosmos,05/20/2020,09/11/2020,"Cosmos, Cosmos, Seashells Mix | COS-SEASM",Cosmos,05/14/2020,09/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLR,6,80 ft,"Aster, Aster, Chamois Apricot | AST-CHAPR",Aster,04/08/2020,08/24/2020,"Aster, Aster, Valkyrie Pink | AST-VALPK",Aster,04/08/2020,08/24/2020,"Zinnias, Zinnias, Giant Salmon Rose | ZIN-GIASR",Zinnias,04/14/2020,09/19/2020,"Zinnias, Zinnias, Lilliput Salmon | ZIN-LILSA",Zinnias,03/30/2020,09/19/2020,"Zinnias, Zinnias, Senora | ZIN-SENOR",Zinnias,03/30/2020,09/19/2020,"Marigold, Marigold, Giant Yellow | MAR-GIAYL",Marigold,04/08/2020,10/06/2020,"Zinnias, Zinnias, Mystery | ZIN-MYSTY",Zinnias,03/30/2020,09/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLR,7,80 ft,"Scabiosa (Pincushion Flower), Annual, Fata Morgana | SCA-FATAM",Scabiosa (Pincushion Flower),03/22/2020,09/18/2020,"Scabiosa (Pincushion Flower), Annual, Snowmaiden | SCA-SNOWM",Scabiosa (Pincushion Flower),03/22/2020,09/18/2020,"Stock, Stock, Avalanche Supreme | STO-AVASU",Stock,03/14/2020,09/24/2020,"Stock, Stock, Katz Formula Mix | STO-KATMX",Stock,03/14/2020,09/24/2020,"Zinnias, Zinnias, Lilliput Mix | ZIN-LILMX",Zinnias,03/31/2020,09/25/2020,"Aster, Aster, Chamois Apricot | AST-CHAPR",Aster,04/08/2020,08/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,8,80 ft,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Chocolate Lace | AMM-CHOCL",Ammi (False Queen Anne's Lace),03/09/2020,08/25/2020,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Green Mist | AMM-GRENM",Ammi (False Queen Anne's Lace),03/09/2020,08/31/2020,"Dusty Miller, Dusty Miller, New Look | DUS-NEWLK",Dusty Miller,02/26/2020,08/26/2020,"Talinum (fame flower), Talinum (fame flower), Jewels of Opar | TAL-JEWOO",Talinum (fame flower),02/17/2020,11/12/2020,"Ornamental Grasses, Ornamental Grasses, Frosted Explosion | ORN-FROEX",Ornamental Grasses,03/22/2020,08/04/2020,"Orlaya, Orlaya, White Finch | ORL-WHIFN",Orlaya,03/16/2020,09/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,9,80 ft,"Amaranthus, Amaranthus, Green Tails | AMA-GRETL",Amaranthus,03/28/2020,07/26/2020,"Celosia, Celosia, Pampas Plume | CEL-PAMPL",Celosia,04/08/2020,07/12/2020,"Ammi (False Queen Anne's Lace), Ammi (False Queen Anne's Lace), Green Mist | AMM-GRENM",Ammi (False Queen Anne's Lace),03/28/2020,09/11/2020,"Nicandra Physalodes, Nicandra Physalodes, Apple of Peru | NIC-APPLP",Nicandra Physalodes,03/22/2020,08/04/2020,"Eucalyptus, Eucalyptus, Silver Dollar | EUC-SILDL",Eucalyptus,02/17/2020,09/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,10,80 ft,"Celosia, Celosia, Cockscomb Coral Rf | CEL-COCRF",Celosia,03/28/2020,07/19/2020,"Celosia, Celosia, Texas Plume SumShr | CEL-TEXSS",Celosia,04/08/2020,07/19/2020,"Ornamental Grasses, Ornamental Grasses, Frosted Explosion | ORN-FROEX",Ornamental Grasses,04/30/2020,08/30/2020,"Ornamental Grasses, Ornamental Grasses, Bunny Tails | ORN-BUNTL",Ornamental Grasses,04/30/2020,09/04/2020,"Eucalyptus, Eucalyptus, Silver Dollar | EUC-SILDL",Eucalyptus,02/17/2020,09/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,11,80 ft,"Cosmos, Cosmos, Rubenza | COS-RUDBN",Cosmos,05/14/2020,09/15/2020,"Cosmos, Cosmos, Cupcake White | COS-CUPCW",Cosmos,05/20/2020,09/13/2020,"Cosmos, Cosmos, Cupcake Blush | COS-CUPBL",Cosmos,05/14/2020,09/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,12,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,13,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,PipSqueak Patch,,,1,40 ft,"Pumpkins, Medium, Pipsqueak PMR | PUM-PIPSQ",Pumpkins,06/27/2020,11/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Racer Patch,,,1,40 ft,"Pumpkins, Medium, Racer | PUM-RACER",Pumpkins,06/27/2020,10/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Sunflower Fields,,,1,200 ft,"Sunflower, Single Stem, Autumn Beauty Mix | SUN-AUTBX, Full-Size",Sunflower,05/16/2020,09/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Sunflower Fields,,,2,200 ft,"Sunflower, Single Stem, Autumn Beauty Mix | SUN-AUTBX, Full-Size",Sunflower,06/06/2020,10/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Sunflower Fields,,,3,200 ft,"Sunflower, Single Stem, Autumn Beauty Mix | SUN-AUTBX, Full-Size",Sunflower,06/15/2020,10/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White House,Situation,,FLR,1,500 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White House,Situation,,GRN,2,500 ft,"Amaranthus, Amaranthus, Hot Biscuits | AMA-HOTBC",Amaranthus,07/08/2020,10/08/2020,"Mignonette, Mignonette, Standard | MIG-STAND",Mignonette,07/08/2020,08/20/2020,"Mignonette, Mignonette, White Mignonette | MIG-WHITE",Mignonette,07/08/2020,08/20/2020,"Gypsophila (Baby's Breath), Gypsophila (Baby's Breath), Covent | GYP-COVEN",Gypsophila (Baby's Breath),07/08/2020,10/14/2020,"Basil, Basil, Mrs. Burn's Lemon | BAS-MRSBL, Full-Size",Basil,07/08/2020,10/14/2020,"Cress, Cress, Emerald Beads | CRE-EMEBD, Full-Size",Cress,07/08/2020,10/20/2020,"Cress, Cress, Emerald Beads | CRE-EMEBD, Full-Size",Cress,07/08/2020,10/20/2020,"Cress, Cress, Wrinkled Crinkled | CRE-WRICR, Full-Size",Cress,07/09/2020,09/21/2020,"Cress, Cress, Pennycress | CRE-PENCR, Full-Size",Cress,07/08/2020,09/20/2020,"Cress, Cress, Pennycress | CRE-PENCR, Full-Size",Cress,07/09/2020,09/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
