Date,Category,Input,Crop,Location,Labor Cost,Input Cost,Total Cost,Description/Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Units,Application Rate Amount Area,Total Cost For Amount,Total Cost For Amount Unit,Seeds Variety,Seeds Organic Treatment,Seeds Seed Company
05/01/2020,Soil/Compost,Germination Soil,,,,$145.00,$145.00,Gard Haven - 5 bags ProMix,,,,,$145.00,,,,
04/25/2020,Supplies,"Misc. - office, books, markers",,,,$100.00,$100.00,"RuralKing sprayers, hoses, connectores",,,,,$100.00,,,,
04/19/2020,Supplies,Field Supplies,,,,$99.98,$99.98,"Lowes- CAT Tunnel Supplies 2 rolls plastic- 12'x50', U-Bolts, clamps, screws",,,,,$99.98,,,,
04/16/2020,Soil/Compost,Germination Soil,,,,$105.78,$105.78,"GardHaven 3 bags ProMix BX + 27 - 3"" square pots",,,,,$105.78,,,,
04/16/2020,Supplies,Field Supplies,,,,$135.27,$135.27,"WalMart- potting soil, deer fence, hose, sharpies, office supplies",,,,,$135.27,,,,
04/13/2020,Supplies,"Misc. - office, books, markers",,,,$112.09,$112.09,"GH Megastore - 4"" pots and trays",,,,,$112.09,,,,
04/11/2020,Equipment,Field Equipment,,,,$200.00,$200.00,JS Earthway Seeder,,,,,$200.00,,,,
04/11/2020,Supplies,Greenhouse building stuff,,,,$94.99,$94.99,new fan  Lowes,,,,,$94.99,,,,
04/11/2020,Supplies,Greenhouse building stuff,,,,$134.46,$134.46,"ACE - propane, chainsaw supplies",,,,,$134.46,,,,
04/11/2020,Supplies,Field Supplies,,,,$243.33,$243.33,JS-GH Plastic for Cat.tunnels 10x100 ft- qty:3,,,,,$243.33,,,,
03/30/2020,Seed Starting,"Try Cells, Flats and Dome",,,,$207.00,$207.00,"Order#: 111-3458763-2152229
10 Pack Seed Starter Kit,SiBo 72 Cell Gardening Germination Tray
Order#: 111-8383738-0444258
Seed Starter Kit 128 Cell Extra Strength, 10 Pack - 1020 Tray, Humidity D",,,,,$207.00,,,,
03/26/2020,Supplies,Field Supplies,,,,$105.00,$105.00,"rural king - bird feeders, propane, pitchfork, trash bags",,,,,$105.00,,,,
03/26/2020,Supplies,Field Supplies,,,,$52.00,$52.00,GardHaven-4- 4#bags of urea (45-0-0),,,,,$52.00,,,,
03/21/2020,Supplies,Greenhouse building stuff,,,,$118.16,$118.16,"supplies for 3 gh tables and extra bulbs -dahlias, anem., ranunc. menards",,,,,$118.16,,,,
03/21/2020,Supplies,Field Supplies,,,,$26.00,$26.00,"drill bit set , 200 cable ties TSC",,,,,$26.00,,,,
03/21/2020,Supplies,Field Supplies,,,,$53.46,$53.46,"Amazon    Hortonova trellis net 48"" x 328'",,,,,$53.46,,,,
03/19/2020,Supplies,Field Supplies,,,,$53.63,$53.63,3' x 300' landscape fabric for uncovered bed walking paths - Amazon.,,,,,$53.63,,,,
03/19/2020,Supplies,Greenhouse building stuff,,,,$188.36,$188.36,63 pipes for 3 Cat. Tunnels,,,,,$188.36,,,,
03/19/2020,Supplies,Greenhouse building stuff,,,,$231.00,$231.00,"Tractor Supply
126 - 4' fiberglass rods 
20000' - baling twine",,,,,$231.00,,,,
03/17/2020,Seed Starting,Tray Cell Inserts,,,,$72.90,$72.90,"2 of 10 Pack Seed Starter Kit 72 Cell Gardening Germination Tray
Order# 111-4551770-3610626",,,,,$72.90,,,,
03/11/2020,Labor,,,,$50.00,,$50.00,Create 9x9 template and got started,,,,,,,,,
03/10/2020,Supplies,Field Supplies,,,,$26.66,$26.66,Wall panel 4x8 used to make hole spacing template,,,,,$26.66,,,,
03/09/2020,Soil/Compost,leaf compost,,,,$344.50,$344.50,"From The Mulchman, 10 yards leaf compost, ask for driver Tim, he knows how to find me and will drive big truck into back field.  Only $45 delivery and tax exempt.  Compost is 29.95/yard",,,,,$344.50,,,,
03/08/2020,Labor,granular fertilizer,,,$150.00,,$150.00,"40 lbs of 10-10-10
 16 lbs of 45-0-0 (urea)",,,,"1,000 sq. ft",,,,,
03/07/2020,Conference/Education,Registration,,,,$75.00,$75.00,"2020 Small Farm Conference & Trade Show
Ohio State University Mansfield Campus, Ovalwood Hall
03/14/2020 
Confirmation Number: PJNH6T6V23J",,,,,$75.00,,,,
03/06/2020,Fertilizers & Amendments,granular fertilizer,,,,$25.00,$25.00,10-10-10 40# bags Walmart,,14.0,Pounds,"1,000 sq. ft",$25.00,80.00 Pounds,,,
03/06/2020,Fertilizers & Amendments,granular fertilizer,,,,$111.80,$111.80,"Espoma Urea 4# -x 4 bags $11/ea
GT Earthworm Castings 40# x 2 bags $30/ea
Gardening Haven",,14.0,Pounds,"1,000 sq. ft",$111.80,96.00 Pounds,,,
03/04/2020,Maintenance,Germination Equipment,,,,$73.00,$73.00,4ft hoop bender,,,,,$73.00,,,,
03/04/2020,Seeds,,Dahlias,,,$10.00,$10.00,Giant Hybrid Mix Seeds 500ct,,,,,$10.00,,,,Johnny's Selected Seeds
03/03/2020,Supplies,Field Supplies,,,,$43.97,$43.97,amazon - landscapre fabric staples,,,,,$43.97,,,,
03/02/2020,Supplies,Field Supplies,,,,$341.06,$341.06,Walmart - 6' x 300' weed barrier - count:3,,,,,$341.06,,,,
03/01/2020,Labor,,,,$100.00,,$100.00,Build 1 of 4 GH tables,,,,,,,,,
02/29/2020,Supplies,Greenhouse building stuff,,,,$128.56,$128.56,"Building tables for GH in a box, wood, galv welded wire, screws, etc.",,,,,$128.56,,,,
02/24/2020,Equipment,Greenhouse,,,,$187.68,$187.68,"Spring Wire & Lock Channel - Greenhouse Wiggle Spring Lock & U-Channel Bundle, 20 of Each, Greenhouse Plastic or Shade Cloth - Attachment
Order Number: 111-8594688-7419429",,,,,$187.68,,,,
02/23/2020,Equipment,Greenhouse,,,,$22.51,$22.51,"Remote Thermometer - Ambient Weather WS-0270-2-KIT Dual Zone Wireless Indoor/Outdoor Thermometer with Indoor Humidity

Amazon Order# 111-7485158-7868248",,,,,$22.51,,,,
02/23/2020,Labor,,,,$200.00,,$200.00,"Frame up ends and cover with poly, install fan and heat",,,,,,,,,
02/18/2020,Labor,,Eucalyptus,,$25.00,,$25.00,,,,,,,,,,
02/18/2020,Seed Starting,Tray Cell Inserts,,,,$28.99,$28.99,"10 Pack Seed Starter Kit 72 Cell Gardening Germination Tray - Plug Tray Starting Trays for Seedling Germination Enhance Aeration

Amazon: ORDER # 111-3370708-1523447",,,,,$28.99,,,,
02/17/2020,Labor,,Talinum (fame flower),,$25.00,,$25.00,"For this crop
* do not cover the seeds as light aids germination
* install grow light in germination station for this flat",,,,,,,,,
02/17/2020,Labor,,Talinum (fame flower),,$37.50,,$37.50,,,,,,,,,,
02/17/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$25.00,,$25.00,,,,,,,,,,
02/17/2020,Labor,,Eucalyptus,,$25.00,,$25.00,,,,,,,,,,
02/16/2020,Crew,Clay,,,,$70.00,$70.00,Help me cover greenhouse top,,,,,$70.00,,,,
02/16/2020,Crew,Clay,,,,$10.00,$10.00,Read up on seed starting,,,,,$10.00,,,,
02/16/2020,Labor,GH parts,,,$87.50,$58.37,$145.87,Cover top of greenhouse with plastic and frame in ends,,,,,$58.37,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/15/2020,Labor,,Rudbeckia (Black-Eyed Susan),,$37.50,,$37.50,,,,,,,,,,
02/13/2020,Fertilizers & Amendments,fish and seaweed fertilizer,,,,$19.00,$19.00,Neptune’s,No,,,,$19.00,,,,
02/13/2020,Soil/Compost,Germination Soil,,,,$48.00,$48.00,knollwood Espoma,,,,,$48.00,,,,
02/11/2020,Labor,,,,$50.00,,$50.00,Cover germination station with plastic and setup heater,,,,,,,,,
02/10/2020,Equipment,Germination Equipment,,,,$42.00,$42.00,Lowes:  plastic sheeting for germination shelves + Thermometers,,,,,$42.00,,,,
02/10/2020,Labor,,,,$100.00,,$100.00,,,,,,,,,,
02/10/2020,Sales/Marketing,Business Event/Meal,,,,$14.00,$14.00,Lunch: Hollon Flowers/Carolyn (Lefty's),,,,,$14.00,,,,
02/10/2020,Soil/Compost,Germination Soil,,,,$80.00,$80.00,Gardening Haven - Pro-Mix germination soil (3 x 79L),,,,,$80.00,,,,
02/09/2020,Labor,,,,$75.00,,$75.00,"This weekend I hope to at least do the following:

* attach the wiggle channel to GH frame
* frame up the ends

The plastic cover will have to wait for later, it is snowing and the conditions are bad",,,,,,,,,
02/08/2020,Labor,,,,$25.00,,$25.00,It is snowing and we need to clear driveway for guests,,,,,,,,,
02/08/2020,Labor,,,,$50.00,,$50.00,"This weekend I hope to at least do the following:

* attach the wiggle channel to GH frame
* frame up the ends

The plastic cover will have to wait for later, it is snowing and the conditions are bad",,,,,,,,,
02/06/2020,Equipment,"Misc (string, gloves, etc)",,,,$47.00,$47.00,"Pier1: apple baskets, wood plate stands",,,,,$47.00,,,,
02/04/2020,Equipment,"Misc (string, gloves, etc)",,,,$166.00,$166.00,"Menards: vermiculite, hand tools, seeds, trays, domes",,,,,$166.00,,,,
02/04/2020,Seeds,,,,,$72.00,$72.00,Flower seeds,,,,,$72.00,,,Untreated,Knollwood Garden Center
02/03/2020,Equipment,Field Equipment,,,,$46.03,$46.03,AUC-WORX 2 wheel dolly cart used,,,,,$46.03,,,,
02/02/2020,Equipment,Greenhouse,,,,$230.00,$230.00,"HD: wood, bolts, air diffuser, line level, etc",,,,,$230.00,,,,
02/02/2020,Labor,,,,$100.00,,$100.00,side boards on greenhouse,,,,,,,,,
01/30/2020,Maintenance,GH parts,,,,$58.37,$58.37,"Blower Fan - Dayton 1TDN7 Round Permanent Split Capacitor OEM Specialty Blower

https://www.amazon.com/gp/product/B001OM1L7E/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1",,,,,$58.37,,,,
01/30/2020,Maintenance,GH parts,,,,$119.85,$119.85,"Greenhouse Film 4 Year 6mil Clear 24' x 50'

https://www.amazon.com/gp/product/B074L59PGL/ref=ppx_yo_dt_b_asin_title_o03_s00?ie=UTF8&psc=1",,,,,$119.85,,,,
01/30/2020,Sales/Marketing,Supplies/Equipment,,,,$53.00,$53.00,Pier1: 2 - 4 hole floral bucket cubes,,,,,$53.00,,,,
01/28/2020,Maintenance,GH parts,,,,$174.99,$174.99,"Bootstrap Farmer Spring Wire & Lock Channel - Greenhouse Wiggle Spring Lock & U-Channel Bundle, 20 of Each, Greenhouse Plastic or Shade Cloth Attachment

https://www.amazon.com/gp/product/B01BC4HBQI/r",,,,,$174.99,,,,
01/27/2020,Supplies,"Misc. - office, books, markers",,,,$80.00,$80.00,"B&N: planner, book",,,,,$80.00,,,,
01/26/2020,Equipment,"Misc (string, gloves, etc)",,,,$44.00,$44.00,"TSC: string, water wand, propane cylinder",,,,,$44.00,,,,
01/26/2020,Equipment,"Misc (string, gloves, etc)",,,,$8.00,$8.00,HD: tek screws for GH,,,,,$8.00,,,,
01/26/2020,Equipment,"Misc (string, gloves, etc)",,,,$170.00,$170.00,"RuralKing: flags, water wand, hand tools, propane torch",,,,,$170.00,,,,
01/26/2020,Maintenance,Germination Equipment,,,,$32.99,$32.99,"Heat Mat - VIVOSUN Durable Waterproof Seedling Heat Mat Warm Hydroponic Heating Pad 48"" x 20.75""

https://www.amazon.com/gp/product/B01EMXI6VA/ref=ppx_yo_dt_b_asin_title_o09_s00?ie=UTF8&psc=1",,,,,$32.99,,,,
01/26/2020,Maintenance,Germination Equipment,,,,$16.99,$16.99,"Digital Heat Mat Thermostat Temperature Controller 40–108 ºF for Seedlings, Germination, Rooting, Fermentation and Reptiles

https://www.amazon.com/gp/product/B015F4VFGI/ref=ppx_yo_dt_b_asin_t",,,,,$16.99,,,,
01/24/2020,Equipment,"Misc (string, gloves, etc)",,,,$35.00,$35.00,Goodwill:  glass vases,,,,,$35.00,,,,
01/18/2020,Supplies,"Misc. - office, books, markers",,,,$27.00,$27.00,"Target: post-its, tape,",,,,,$27.00,,,,
01/17/2020,Sales/Marketing,Association Fees,,,,,$80.00,Join Ohio Farm Bureau,,,,,,,,,
01/14/2020,Maintenance,ZTurn Maint,,,,,$490.91,Reynolds Farm Equip - Xenia,,,,,,,,,
01/08/2020,Supplies,"Misc. - office, books, markers",,,,$63.00,$63.00,"Staples: File folders, File holders, file tabs",,,,,$63.00,,,,
01/06/2020,Sales/Marketing,Workshop,,,,,$497.00,Amber Housley - online course and printed materialsn - Flourish,,,,,,,,,
01/02/2020,Maintenance,Germination Equipment,,,,$5.99,$5.99,"Silver Highly Reflective Mylar Film Garden Greenhouse Covering Foil Sheets (82 x 50 Inch2PC, Silver)

https://www.amazon.com/gp/product/B07YFDCKR5/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1",,,,,$5.99,,,,
01/02/2020,Maintenance,Germination Equipment,,,,$77.99,$77.99,"DuroLux T5 HO Grow Light - 4FT 4 Lamps - DL844 Fluorescent Hydroponic Indoor Fixture | Bloom Veg Daisy Chain with Bulbs

https://www.amazon.com/gp/product/B00HEYCRI8/ref=ppx_yo_dt_b_asin_title_o04_s01",,,,,$77.99,,,,
01/02/2020,Maintenance,Germination Equipment,,,,$18.99,$18.99,"BN-LINK Digital Heat Mat Thermostat Controller for Seed Germination, Reptiles and Brewing Breeding Incubation Greenhouse, 40-108°F, 8.3A 1000W ETL Listed

https://www.amazon.com/gp/product/B01I15S6OM/",,,,,$18.99,,,,
01/02/2020,Maintenance,Germination Equipment,,,,$11.99,$11.99,"Outlet Timer BN-LINK BND-60/U47 Indoor Mini 24-Hour Mechanical Outlet Timer, 3-Prong, 2-Pack

https://www.amazon.com/gp/product/B01LPSGBZS/ref=ppx_yo_dt_b_asin_title_o04_s03?ie=UTF8&psc=1",,,,,$11.99,,,,
11/04/2019,Equipment,Germination Equipment,,,,$179.00,$179.00,"Menards: trays, labels, vermiculite",,,,,$179.00,,,,
11/04/2019,Equipment,Germination Equipment,,,,$86.00,$86.00,Menards 48x72 metal shelf,,,,,$86.00,,,,
